TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.021333333,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.042666667,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.064000000,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.085333333,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.106666667,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.128000000,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.149333333,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.170666667,-444.995,25.5962,35.6929,9.23218,0.400106,-3.60967,-1.51616,-0.655677,-0.621635,-4.19152,-3.1158,-5.54891,-4.14178,0.499623,4.76256,2.35083,1.71585,1.08012,-0.164981,-2.48545,-0.423216
0.192000000,-381.318,51.4489,42.7555,14.1705,5.75659,5.03901,5.86996,5.53349,4.56185,4.3043,1.4907,2.51634,3.25358,-0.0479412,0.0676597,-1.64748,-1.43002,-1.44555,-3.63429,-1.51848,-1.70333
0.213333333,-327.26,52.2786,5.75305,8.84483,9.2357,-1.28362,-0.678739,2.68231,-2.03713,3.06138,0.859788,2.24346,-0.913636,1.63753,-0.327885,0.34461,-1.99229,-2.47221,-2.70642,-0.651143,-1.79091
0.234666667,-339.955,52.5426,24.8738,2.42639,1.278,-0.80911,0.084728,-1.83772,-0.355829,0.573334,-0.150077,2.48125,-3.37873,-3.67365,-3.10372,-2.03142,-0.856349,0.440432,0.200265,-0.326688,-2.69698
0.256000000,-309.366,51.6511,9.92952,2.56186,6.72548,-4.53183,1.89296,-0.0414834,-1.1783,-0.70523,1.62143,-0.285884,-0.283023,-3.041,-1.37833,-0.906528,-0.701688,0.158132,-0.702999,1.388,-0.633925
0.277333333,-319.621,50.4619,23.1324,2.10506,3.45752,-0.831188,1.79079,0.0537497,-2.06998,-5.13154,-2.38041,-1.22834,-0.945847,2.17732,-2.24253,-2.60397,1.7465,3.06265,-2.61877,0.259696,0.49158
0.298666667,-317.744,53.2505,22.3858,-2.66015,1.32344,-1.46348,0.454196,0.369286,-0.634556,-0.0936195,1.67536,2.18384,-0.641385,-0.501225,-0.760734,-0.471136,-0.00352762,1.00054,-1.30247,-1.07746,-1.39144
0.320000000,-314.491,54.7077,20.8397,-6.36998,0.557355,-0.751689,-0.238264,-3.28346,-2.93729,-1.652,-0.645569,-0.626626,-0.78658,0.155294,-2.03034,-4.00424,-1.47796,0.172385,-0.132559,1.47539,-0.774828
0.341333333,-311.768,57.308,20.9144,-6.83167,-1.55825,-0.858071,-2.46566,-1.91975,1.30255,1.35584,2.11177,0.801893,0.150005,-2.12736,-3.48148,-3.44899,-2.18915,-0.336646,0.0278449,-1.74754,-1.19262
0.362666667,-302.61,57.9547,14.3162,-0.652714,2.64491,-0.379836,-1.61771,1.3687,-0.680815,0.397327,-2.75887,-2.41196,-5.16217,-0.922215,-4.82006,-2.47508,-3.99333,-0.395427,-2.42615,1.40226,-1.29971
0.384000000,-307.338,63.6493,22.1469,-3.10055,3.94937,6.03165,-1.27345,0.594463,-0.618707,2.479,2.63832,2.4764,-3.03573,1.75812,-1.45128,0.323318,-3.88928,1.13956,0.702208,2.83083,0.605747
0.405333333,-307.421,63.121,17.6527,-4.40176,1.95592,4.15552,-1.02963,1.3915,-2.04896,1.10442,-0.10665,2.76294,-1.34627,-0.302189,-5.19329,-1.64115,-4.32411,-1.46703,-3.21541,1.91888,1.7186
0.426666667,-311.946,58.9098,15.834,-4.30528,-2.22866,1.24222,-5.55007,-1.83695,-3.24853,-1.16628,0.548579,0.85991,-4.67147,-3.05606,-4.29624,-0.237995,-5.47501,0.846209,-1.78669,1.72195,-0.700823
0.448000000,-309.651,58.8629,17.4694,-4.94462,-0.748351,0.354726,-4.02844,-1.93334,-4.12448,-0.325502,-0.0361487,-0.627737,-4.56286,-1.36713,-3.78279,0.657478,-2.81755,-0.923207,-2.0429,-0.406811,-2.13938
0.469333333,-307.426,62.4888,17.7573,-8.58536,-0.891742,0.495579,-1.19825,-1.31696,-3.59877,0.911849,-1.36679,0.753155,-2.26346,0.6812,-2.70189,-0.596482,-3.94328,0.363322,-0.849887,0.121104,-0.85098
