TIME,27.4658,30.2124,32.959,35.7056,38.4521,41.1987,43.9453,46.6919,49.4385,52.1851,54.9316,57.6782,60.4248,63.1714,65.918,68.6646,71.4111,74.1577,76.9043,79.6509,82.3975,85.144,87.8906,90.6372,93.3838,96.1304,98.877,101.624,104.37,107.117,109.863,112.61,115.356,118.103,120.85,123.596,126.343,129.089,131.836,134.583,137.329,140.076,142.822,145.569,148.315,151.062,153.809,156.555,159.302,162.048,164.795,167.542,170.288,173.035,175.781,178.528,181.274,184.021,186.768,189.514,192.261,195.007,197.754,200.5,203.247,205.994,208.74,211.487,214.233,216.98,219.727,222.473,225.22,227.966,230.713,233.459,236.206,238.953,241.699,244.446,247.192,249.939,252.686,255.432,258.179,260.925,263.672,266.418,269.165,271.912,274.658,277.405,280.151,282.898,285.645,288.391,291.138,293.884,296.631,299.377,302.124,304.871,307.617,310.364,313.11,315.857,318.604,321.35,324.097,326.843,329.59,332.336,335.083,337.83,340.576,343.323,346.069,348.816,351.562,354.309,357.056,359.802,362.549,365.295,368.042,370.789,373.535,376.282,379.028,381.775,384.521,387.268,390.015,392.761,395.508,398.254,401.001,403.748,406.494,409.241,411.987,414.734,417.48,420.227,422.974,425.72,428.467,431.213,433.96,436.707,439.453,442.2,444.946,447.693,450.439,453.186,455.933,458.679,461.426,464.172,466.919,469.666,472.412,475.159,477.905,480.652
0.000000000,1.09102,4.66482,1.76057,4.00095,2.63304,3.15406,4.10067,2.17436,3.24663,1.61008,4.81575,1.61531,5.11156,2.15522,3.39408,2.98191,2.16255,4.0021,2.06031,4.23113,1.6975,4.54383,1.46378,4.34769,2.51061,3.27354,4.01639,1.96125,4.54857,1.92984,3.91828,1.6674,4.23907,1.94153,4.12925,2.82111,2.94841,4.20264,1.40953,4.33514,1.62776,4.50601,1.66437,3.764,2.24524,3.32627,3.57036,1.99177,4.05553,1.31379,4.30806,1.84413,3.9758,1.96361,3.56371,2.46568,2.94009,3.67095,1.88972,4.78143,1.33828,4.54375,1.91835,3.58377,2.21053,2.86062,2.86056,2.74562,4.40511,1.43782,4.51094,1.28899,4.00959,2.02279,3.55119,3.17317,2.62124,3.15018,1.64782,3.83568,1.39983,4.47907,1.45423,3.74791,2.44847,2.62591,2.45465,2.04572,3.56295,1.79573,4.6284,1.54592,4.46645,1.47382,3.01081,2.82072,2.67211,3.93892,1.80148,3.42358,1.37991,3.79989,1.40305,3.92854,2.00956,3.30746,3.32295,1.94599,3.39197,1.15725,3.6712,1.6009,4.46458,1.88715,3.16477,2.04793,1.81509,2.8896,2.07703,4.51451,1.31382,3.12418,1.11977,3.29377,1.73494,3.04142,2.99216,2.22011,3.31492,1.03991,3.72397,1.40746,3.25378,1.35603,3.45773,2.4584,2.26742,2.55654,1.73363,3.85487,1.23629,3.91336,1.34883,3.29706,1.85785,2.57215,2.60009,1.97979,3.21479,1.06444,3.13932,1.29344,3.47014,1.31321,2.59109,1.80363,2.32114,2.65079,1.42506,3.16165,1.10908,3.55611,1.12793,2.95616,1.60091,2.29074
1.365333333,1.03461,16.6127,2.1406,13.3525,6.10447,8.6884,11.5755,2.74906,12.3744,1.74037,17.4819,0.906201,17.772,4.86252,11.788,9.30128,6.42111,12.7012,2.02885,14.9546,0.52117,16.179,1.86719,14.8627,6.15725,9.72234,12.0375,3.57924,14.6301,0.468066,13.8673,0.511025,14.3851,2.70749,12.5784,8.18716,7.75975,14.6926,2.69542,15.9336,0.611272,16.3494,2.00106,13.2996,5.18257,9.8383,11.0611,4.14907,14.2585,1.2426,15.1333,0.522316,13.3879,2.62616,10.8479,6.65812,7.48534,12.5279,3.23243,17.1383,0.90135,16.5473,1.91536,12.404,4.84706,8.64577,8.37712,5.48753,15.1119,1.50523,16.4822,1.08267,14.5784,3.00854,11.1286,7.37237,5.55087,10.7337,2.69091,13.8696,0.772996,15.9486,1.78744,13.1195,5.14136,7.71015,8.15385,5.04886,12.4578,1.82993,16.5188,0.702003,15.9557,3.91202,11.4789,6.73777,6.57947,11.5747,1.72339,12.0657,0.565543,13.4701,0.970004,13.0841,4.16587,9.676,9.81482,3.92958,12.4818,1.58588,13.7487,0.432353,15.3571,3.02025,10.6436,6.98216,6.63598,9.22191,3.33923,14.9572,0.473692,11.789,1.02774,11.5486,3.35624,9.04558,8.1348,4.13374,12.0425,1.70319,13.6177,0.500166,12.0251,1.81829,11.4419,5.99358,6.12148,8.88997,3.593,13.5631,0.806729,14.1113,1.2306,11.5706,3.78523,7.88471,7.29478,4.01221,11.0521,1.22775,11.4735,0.356354,12.1115,2.20126,9.12652,4.65182,6.5249,9.03469,2.93568,11.7138,0.897237,13.1776,1.17351,10.869,3.31081,7.48509
2.730666667,18.9551,50.3518,20.5916,43.6394,28.7865,34.1594,39.3451,20.3657,42.6324,20.9328,54.4727,20.2657,55.7421,29.8022,43.9102,38.1855,32.1411,42.8369,19.7431,47.2068,16.6372,49.9229,21.2726,47.7833,30.0535,37.298,41.1396,23.6701,44.9647,14.3425,43.3986,15.381,45.306,21.7435,42.6947,35.1777,34.3363,49.1619,24.6981,50.7144,18.0414,51.3914,21.5807,45.2067,28.0249,37.7262,39.7479,25.3648,45.4219,18.5429,45.9903,14.3904,41.8655,19.6364,37.0677,29.6041,31.3406,43.1765,24.344,53.6372,20.239,52.4129,20.3684,42.5302,25.8292,33.7202,32.6916,26.6415,47.7473,20.1929,50.9635,19.2543,46.6643,21.5259,38.4309,29.2152,25.3687,37.3407,20.7883,43.9372,16.881,48.4859,19.7918,42.9397,25.5901,31.0545,33.0847,26.7325,42.4011,19.993,51.3626,18.2213,50.4819,26.6421,41.3304,28.573,28.2436,37.2257,16.257,38.108,14.0805,41.1824,15.6871,40.9996,23.4723,34.9002,35.4677,23.1982,41.5804,19.2797,44.0903,15.5634,47.847,22.5338,38.7986,32.0907,31.1433,33.8144,21.1907,44.3597,13.9267,37.0974,15.0703,36.7385,20.1457,31.9459,30.0475,21.5945,39.7103,19.0063,42.9149,14.6226,39.5704,18.4359,38.7297,26.6811,26.9067,33.0242,22.1628,42.5053,16.0922,43.4069,16.395,37.6906,20.954,29.4212,27.5288,20.6448,35.5786,15.3937,36.0059,12.3583,37.4597,17.7271,32.1495,23.0056,27,33.0131,20.3375,38.562,15.8683,41.363,16.0857,35.9544,19.4623,28.0762
4.096000000,72.0752,115.54,74.4603,106.489,86.4162,94.3715,101.101,73.4432,106.698,79.0211,127.52,81.0598,132.105,96.8002,115.25,105.889,96.1922,108.104,74.5504,113.005,69.6979,116.254,77.4259,114.325,90.5685,100.803,104.968,79.2204,105.984,61.375,102.433,64.6721,108.498,77.6808,108.789,100.327,99.7814,120.725,86.2658,120.353,74.2147,121.544,80.3593,113.064,88.5835,101.997,103.706,82.5163,108.711,70.3003,105.76,60.2974,99.3383,70.0085,95.6631,86.4837,89.4172,106.949,82.7666,126.093,81.119,125.843,78.0458,107.043,81.3415,91.1783,89.1625,81.996,113.521,76.0636,118.858,74.7629,111.584,74.759,97.4993,82.8673,76.9533,95.2576,72.6824,104.221,66.6948,111.049,72.5555,104.921,79.9449,86.8728,90.5896,82.8928,105.856,75.8847,121.4,74.6239,119.72,86.7403,104.575,83.1206,81.7628,92.3173,61.0431,90.7764,57.3366,95.1995,60.8965,97.2982,74.9677,92.1074,93.585,75.8311,101.481,70.7802,104.636,65.6306,113.62,79.2752,102.004,93.0696,90.1007,89.9202,71.4324,101.683,56.3568,86.3677,56.7078,87.6352,66.1392,83.5953,80.7873,68.8402,95.9005,68.5101,101.267,61.1906,96.933,68.3657,97.4184,79.1725,78.214,86.3724,71.7637,99.8729,63.3372,101.434,63.1395,91.6583,66.6796,77.5398,74.2972,64.9166,86.4342,57.7618,84.6182,51.1851,87.2769,61.7856,82.4855,70.4748,76.7505,85.7868,68.2025,93.6148,62.147,97.6881,61.3651,87.5814,62.9541,74.0416
5.461333333,163.806,209.79,167.105,200.828,181.113,190.797,197.726,167.469,205.221,181.107,234.479,188.239,245.226,210.049,226.794,213.388,199.923,208.731,172.498,212.683,165.613,212.896,172.922,212.308,189.783,201.559,204.007,173.257,196.185,146.629,190.364,153.984,203.444,175.107,211.701,205.967,206.153,227.684,190.388,223.516,174.887,225.465,183.122,217.088,190.96,203.988,202.799,177.942,203.308,160.984,192.638,141.61,183.751,158.512,189.581,180.818,182.416,200.75,180.714,233.442,190.614,236.77,181.271,206.231,174.387,181.422,178.606,174.328,211.082,173.076,217.756,172.046,208.748,167.159,188.179,169.587,162.88,185.49,163.178,193.806,153.073,199.947,163.448,199.426,172.308,177.114,181.096,175.46,202.662,175.537,226.447,175.981,221.544,185.935,200.36,172.984,169.285,176.869,140.246,169.562,134.315,173.631,139.755,180.736,161.271,182.162,185.008,165.328,191.699,159.282,193.332,155.471,212.354,179.411,202.334,191.184,184.035,179.171,158.645,185.873,130.406,156.612,128.086,163.864,144.688,164.718,161.242,148.572,179.378,152.915,187.139,145.642,184.787,156.578,187.551,165.99,162.28,169.677,154.462,183.212,145.925,187.144,146.591,173.366,142.849,151.51,148.012,139.861,163.881,131.873,155.764,119.742,159.796,137.294,161.168,150.22,157.73,167.324,149.038,176.236,144.246,181.292,140.976,165.015,136.011,145.398
6.826666667,276.943,314.19,280.074,308.62,295.007,304.488,311.358,286.754,319.902,308.195,355.439,321.425,372.29,349.211,358.291,339.051,322.592,326.373,296.644,328.092,287.66,320.815,288.22,322.138,308.617,320.054,319.627,288.248,297.63,254.255,291.399,267.67,312,296.358,332.689,332.251,333.014,348.851,316.387,340.223,302.306,343.471,310.474,338.005,317.029,324.412,317.514,292.996,310.971,274.087,289.925,242.207,278.07,269.396,303.466,296.583,291.349,303.904,298.691,355.992,329.924,364.664,312.187,322.291,287.52,286.448,283.734,286.353,321.473,292.761,328.034,292.75,320.218,282.085,292.683,272.768,267.324,291.197,276.586,296.255,258.335,296.097,275.372,309.531,286.104,284.937,287.311,286.432,314.296,301.72,347.564,304.348,336.006,303.976,309.48,282.086,274.726,274.161,239.544,260.529,230.5,260.401,237.414,275.264,265.532,288.125,292.893,274.855,294.834,268.349,292.594,267.756,326.198,306.705,321.717,307.42,294.611,284.841,267.655,281.8,221.078,232.175,215.355,251.724,241.092,259.72,256.606,245.723,273.511,256.113,283.676,252.767,288.134,268.077,291.492,270.943,264.391,267.105,253.516,276.008,248.082,283.75,252.537,268.22,234.199,235.874,234.718,231.994,253.429,224.483,235.5,204.171,240.919,230.409,253.389,248.165,255.766,261.628,246.644,271.182,248.007,275.88,240.051,254.014,224.77,227.725
8.192000000,377.873,399.235,378.528,399.32,395.378,401.526,409.244,398.346,418.454,421.236,458.471,440.377,475.527,475.15,473.015,444.498,428.097,428.651,410.154,427.426,400.806,409.259,387.287,412.806,412.063,421.297,419.13,390.532,381.021,351.896,378.232,372.176,403.766,405.585,438.109,442.752,442.19,450.348,426.145,436.252,420.529,442.471,422.961,443.784,429.944,427.558,415.952,392.433,400.939,377.307,369.7,331.031,355.913,369.707,406.629,401.98,382.9,385.332,401.467,459.153,459.114,474.858,431.424,424.02,387.683,374.123,375.212,384.954,412.416,400.47,418.038,400.062,416.061,385.697,380.486,362.405,360.046,382.273,380.174,383.742,349.615,371.191,375.289,404.885,388.202,379.528,378.615,382.46,409.251,417.806,451.876,421.906,430.226,405.722,399.947,378.384,369.036,355.464,328.85,340.379,316.37,329.899,325.68,353.963,355.831,380.344,386.785,371.319,382.16,365.688,373.871,368.725,423.411,425.81,427.186,406.131,390.691,376.937,365.277,365.034,300.513,289.058,293.486,327.086,325.857,342.045,339.914,330.838,351.458,347.596,363.442,350.553,379.305,371.08,379.243,363.038,356.19,350.896,338.136,352.296,339.38,363.27,350.502,350.997,312.508,305.078,310.274,314.324,329.268,309.369,301.465,277.372,308.415,314.171,332.183,336.578,343.667,340.918,331.452,352.347,343.097,355.016,328.823,329.911,303.394,296.046
9.557333333,433.349,435.5,427.936,443.395,446.362,450.476,456.624,465.214,469.111,478.34,512.733,501.573,520.596,545.718,531.846,493.905,479.504,481.877,473.896,477.711,466.504,448.859,434.382,454.862,463.476,471.682,468.388,445.146,418.707,404.246,424.123,429.701,449.347,464.874,492.037,501.278,494.978,498.157,482.419,477.767,490.003,490.622,478.597,502.474,489.688,477.842,466.777,439.385,444.391,435.351,404.664,377.43,390.576,424.94,465.935,461.003,426.284,415.663,453.93,509.135,532.586,533.7,495.422,478.819,441.461,412.13,423.956,435.595,452.214,461.215,455.736,457.087,465.966,440.07,424.344,405.765,410.102,428.816,436.8,430.122,392.15,401.297,428.178,453.27,445.602,426.482,426.167,428.891,455.716,485.75,502.399,490.996,470.92,455.569,443.287,425.398,423.972,391.454,376.436,385.887,358.724,361.087,372.869,390.367,401.912,425.732,437.552,419.572,424.892,418.942,407.619,425.124,471.077,495.529,486.757,449.919,441.417,425.071,415.258,411.771,339.05,307.727,336.349,364.027,370.316,383.634,383.254,374.256,387.049,395.69,399.913,404.722,429.058,430.117,421.56,410.441,406.733,393.435,377.789,387.231,387.728,399.068,407.217,394.677,350.285,335.138,349.154,358.903,365.713,357.681,332.253,312.124,341.013,359.167,371.223,385.608,391.774,378.714,372.978,393.949,396.039,392.872,376.474,367.191,345.219,326.892
10.922666667,427.744,405.977,413.253,422.263,431.522,431.347,438.577,460.121,457.774,453.332,505.109,476.192,497.399,528.956,520.13,462.831,464.23,460.536,470.952,454.445,467.303,419.274,417.961,427.044,450.308,446.25,456.653,424.71,404.826,383.735,421.676,410.054,441.328,443.81,483.418,478.785,479.105,468.483,470.537,444.52,490.1,467.163,459.437,490.851,476.939,454.173,454.791,413.229,429.061,423.727,385.702,360.339,373.843,409.557,466.956,445.005,413.129,376.217,444.816,479.961,531.663,512.619,487.841,459.913,436.533,379.666,419.129,413.354,432.272,447.29,433.09,437.14,458.735,418.613,414.74,381.266,404.213,409.816,429.367,415.852,373.004,372.218,418.711,432.586,442.791,403.469,417.599,404.448,440.518,477.922,483.813,483.204,447.686,429.741,430.668,398.278,428.298,361.477,371.55,374.864,347.511,337.223,367.429,365.404,393.096,401.505,433.272,396.326,412.245,405.059,384.482,413.51,455.165,486.895,483.775,418.383,432.412,408.504,402.005,402.839,325.702,278.016,332.414,344.691,363.214,364.005,376.49,354.529,372.724,377.703,384.808,390.51,424.635,418.838,407.844,391.182,402.477,374.694,362.235,363.873,379.934,373.65,406.879,379.113,337.812,311.215,340.917,345.98,352.923,348.647,320.049,292.464,329.895,346.321,358.698,375.297,384.898,359.254,357.766,378.947,390.259,372.49,369.456,347.987,339.963,303.724
