"","Track URI","track_name","album_name","artist_name","release_date","song_dur","pop","exp","Added By","Added At","genre","record_label","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_sig","artist_group","mean_song_dur","mean_pop","mean_exp","mean_danceability","mean_energy","mean_loudness","mean_speechiness","mean_acousticness","mean_instrumentalness","mean_liveness","mean_valence","mean_tempo"
"14","spotify:track:0IW0qaeyxL5Et4UG2MrJKB","We Don't Care","The College Dropout - 2004","Kanye West",2004-02-10,239880,66,TRUE,"bobrossthelegend",2026-02-16 17:28:52,"rap","Roc-A-Fella",0.595,0.754,11,-5.827,0,0.181,0.0142,0,0.247,0.647,83.155,4,"Kanye West",218258.047619048,59.5238095238095,0.952380952380952,0.57952380952381,0.593571428571429,-7.79642857142857,0.407614285714286,0.360021904761905,6.54285714285714e-07,0.321,0.665,109.784142857143
"15","spotify:track:5SkRLpaGtvYPhw02vZhQQ9","All Falls Down","The College Dropout - 2004","Kanye West",2004-02-10,223506,84,TRUE,"bobrossthelegend",2026-02-16 17:28:52,"rap,neo soul","Roc-A-Fella",0.657,0.734,8,-4.832,0,0.484,0.149,0,0.139,0.434,91.03,4,"Kanye West",218258.047619048,59.5238095238095,0.952380952380952,0.57952380952381,0.593571428571429,-7.79642857142857,0.407614285714286,0.360021904761905,6.54285714285714e-07,0.321,0.665,109.784142857143
"16","spotify:track:1ko2NuvWlQdxtNRc8QQzmT","Spaceship","The College Dropout - 2004","Kanye West",2004-02-10,324226,66,TRUE,"bobrossthelegend",2026-02-16 17:28:52,"rap","Roc-A-Fella",0.507,0.753,5,-5.31,0,0.19,0.503,0,0.573,0.657,178.068,3,"Kanye West",218258.047619048,59.5238095238095,0.952380952380952,0.57952380952381,0.593571428571429,-7.79642857142857,0.407614285714286,0.360021904761905,6.54285714285714e-07,0.321,0.665,109.784142857143
"17","spotify:track:5g1vtHqi9uV7xtYeCcFOBx","Jesus Walks","The College Dropout - 2004","Kanye West",2004-02-10,193733,71,TRUE,"bobrossthelegend",2026-02-16 17:28:52,"rap","Roc-A-Fella",0.637,0.834,3,-4.686,0,0.323,0.614,0,0.317,0.715,87.312,4,"Kanye West",218258.047619048,59.5238095238095,0.952380952380952,0.57952380952381,0.593571428571429,-7.79642857142857,0.407614285714286,0.360021904761905,6.54285714285714e-07,0.321,0.665,109.784142857143
"18","spotify:track:34j4OxJxKznBs88cjSL2j9","Never Let Me Down","The College Dropout - 2004","Kanye West",2004-02-10,324440,63,TRUE,"bobrossthelegend",2026-02-16 17:28:52,"rap,hip hop,east coast hip hop,spoken word,jazz funk","Roc-A-Fella",0.459,0.816,11,-4.872,0,0.403,0.423,0,0.169,0.643,80.293,4,"Kanye West",218258.047619048,59.5238095238095,0.952380952380952,0.57952380952381,0.593571428571429,-7.79642857142857,0.407614285714286,0.360021904761905,6.54285714285714e-07,0.321,0.665,109.784142857143
"19","spotify:track:5b2FFKC64kxqcfaFnIZxoM","Get Em High","The College Dropout - 2004","Kanye West",2004-02-10,289493,60,TRUE,"bobrossthelegend",2026-02-16 17:28:52,"rap,east coast hip hop,hip hop,jazz rap,neo soul","Roc-A-Fella",0.614,0.644,11,-5.672,0,0.373,0.184,0,0.489,0.649,84.788,4,"Kanye West",218258.047619048,59.5238095238095,0.952380952380952,0.57952380952381,0.593571428571429,-7.79642857142857,0.407614285714286,0.360021904761905,6.54285714285714e-07,0.321,0.665,109.784142857143
"20","spotify:track:1Vp4St7JcXaUoJcIahtf3L","The New Workout Plan","The College Dropout - 2004","Kanye West",2004-02-10,322800,63,TRUE,"bobrossthelegend",2026-02-16 17:28:52,"rap","Roc-A-Fella",0.704,0.792,2,-4.831,1,0.198,0.00981,0,0.365,0.646,118.022,4,"Kanye West",218258.047619048,59.5238095238095,0.952380952380952,0.57952380952381,0.593571428571429,-7.79642857142857,0.407614285714286,0.360021904761905,6.54285714285714e-07,0.321,0.665,109.784142857143
"21","spotify:track:3A4cpTBPaIQdtPFb5JxtaX","Slow Jamz","The College Dropout - 2004","Kanye West",2004-02-10,316053,73,TRUE,"bobrossthelegend",2026-02-16 17:28:52,"rap","Roc-A-Fella",0.559,0.733,2,-5.659,0,0.171,0.314,0,0.284,0.611,145.115,4,"Kanye West",218258.047619048,59.5238095238095,0.952380952380952,0.57952380952381,0.593571428571429,-7.79642857142857,0.407614285714286,0.360021904761905,6.54285714285714e-07,0.321,0.665,109.784142857143
"22","spotify:track:4KFY4EEv9CN6ivrzD6vEvg","Breathe In Breathe Out","The College Dropout - 2004","Kanye West",2004-02-10,246933,57,TRUE,"bobrossthelegend",2026-02-16 17:28:52,"rap,southern hip hop","Roc-A-Fella",0.636,0.7,1,-3.099,0,0.421,0.341,0,0.161,0.924,88.817,4,"Kanye West",218258.047619048,59.5238095238095,0.952380952380952,0.57952380952381,0.593571428571429,-7.79642857142857,0.407614285714286,0.360021904761905,6.54285714285714e-07,0.321,0.665,109.784142857143
"23","spotify:track:1th3G3okofWlvGWAAR7Y4V","School Spirit","The College Dropout - 2004","Kanye West",2004-02-10,182386,57,FALSE,"bobrossthelegend",2026-02-16 17:28:52,"rap","Roc-A-Fella",0.483,0.787,5,-5.422,0,0.21,0.339,0,0.236,0.592,84.81,4,"Kanye West",218258.047619048,59.5238095238095,0.952380952380952,0.57952380952381,0.593571428571429,-7.79642857142857,0.407614285714286,0.360021904761905,6.54285714285714e-07,0.321,0.665,109.784142857143
