TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
1.792000000,1.32549,0.0487163,0.996418,0.239118,0,0.802247,2.44208,0.396696,0.000415346,0.181155,0.372414,0.0855828
1.834666667,1.57844,0,0.64203,0.15203,0.00324445,1.84293,1.97877,0.0383503,0.00826092,0.171315,0.295682,0.0685649
1.877333333,1.73545,0,0.101858,0.0273888,0.305491,2.56529,1.5186,0,0.0356873,0.160277,0.276647,0.000503973
1.920000000,1.8161,0.0176559,0.00372577,0.0176469,0.886385,2.46275,0.630871,0,0.0988359,0.152421,0.184318,0
1.962666667,2.0276,0.599281,0.00352521,0.029997,1.12677,2.03511,0.239191,0,0.117206,0.182378,0.0114461,0.0986167
2.005333333,1.63353,1.05492,0.0636751,0.0789308,0.624205,1.83404,0.0752436,0,0.164482,0.239303,0.11993,0.520146
2.048000000,0.289707,0.835173,0.0569792,0.0878955,0.222013,1.47633,0,0.632207,0.0604612,0.69845,1.56461,0.859399
2.090666667,0.194982,0.582488,0.147216,0.0560093,0.253687,0.984164,0.0232258,1.24772,0.0563467,0.206757,1.98506,0.387727
2.133333333,0.100959,0.355207,0.321847,0.0308343,0.167354,0.666527,0.2042,1.3921,0.157004,0.169118,2.04514,0.261022
2.176000000,0,0.400051,0.541136,0.0377017,0.279046,0.399254,0.288659,1.37543,0.177652,0.115298,1.91731,0.247224
2.218666667,0.356328,0.279862,0.281947,0.177785,0.19206,0.424213,0.195517,1.42237,0.162227,0.105409,1.91111,0.28201
2.261333333,0.651553,0.0286143,0.128821,1.25323,0.399192,0.460319,0.0372455,1.73326,0.341154,0.158553,1.56131,0.372859
2.304000000,0.205452,0,0.120458,1.23937,0.292344,0.497487,0.0674285,1.63774,1.65763,0.187225,0.917932,0.734983
2.346666667,0.16956,0.00353145,0.369233,1.14909,0.405664,0.48787,0.0323607,1.22881,1.90521,0.195945,0.00366846,0.488302
2.389333333,0.207049,0.0096099,0.531468,0.927588,0.987523,0.425038,0.0352417,1.02784,1.76388,0.17436,0.0195306,0.18511
2.432000000,0.546421,0.247958,0.828486,0.403296,1.13748,0.186424,0.0374864,0.903301,1.38168,0.128587,0.162998,0.152331
2.474666667,0.494348,0.577135,0.623464,0.134105,1.19654,0.196468,0.0935143,1.30326,0.750812,0.160742,0.25917,0.18389
2.517333333,0.690153,0.667885,0.592342,0.0651831,1.80631,0.284706,0.449434,1.52313,0.0899328,0.142076,0.128255,0.0897423
2.560000000,0.502939,0.140088,0.976183,0.0340266,2.14201,0.402072,0.535791,2.20551,0.110261,0.113536,0.00227061,0.229203
2.602666667,0.374916,0.118621,0.952558,0.00948238,1.59361,0.566325,0.575239,2.82841,0.069835,0.127042,0.00470017,0.233274
2.645333333,0.328125,0.11317,0.757653,0.0101106,1.2933,0.614246,0.805475,2.9305,0.105117,0.126916,0.0593792,0.246072
2.688000000,0.376835,0.0668397,0.622904,0.0158084,1.03913,0.514832,1.05838,2.714,0.180791,0.126422,0.00353682,0.582051
2.730666667,0.648199,0.116892,0.437292,0.0142812,1.0309,0.456784,1.26276,2.63902,0.144854,0.127205,0.0136765,0.762692
2.773333333,0.829896,0.256622,0.396069,0.0146318,0.777212,0.42412,1.24474,2.63417,0.0669273,0.123072,0.052933,0.642091
2.816000000,0.748333,0.287482,0.512894,0.0283206,0.382994,0.529249,1.09476,2.63602,0.0848753,0.136246,0.651929,0.248305
