TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-494.845,-27.6791,-4.38894,6.21686,-0.861292,1.47453,-2.96089,0.790818,-2.29836,-1.44382,-2.44244,3.3625,-0.989557,-1.394,-1.57493,2.15357,0.0868835,-0.372007,-1.82704,1.22556,2.48616
0.021333333,-337.304,30.1353,-11.8746,4.19204,5.81179,5.16276,-1.78583,4.18257,-2.9451,5.73559,0.063463,1.86946,-1.87082,2.91798,-1.25719,-1.65368,-6.79675,1.76943,-0.319583,-2.42135,-0.499849
0.042666667,-307.529,38.4496,-10.7135,-4.53848,1.24749,12.0957,-1.67934,6.87144,-0.386504,2.04334,-5.09585,4.74921,0.323051,4.19764,-2.8646,-0.811593,-7.39251,-2.2064,-2.9226,-0.555136,-1.75662
0.064000000,-267.191,32.7917,-14.9805,10.0092,4.57814,10.6306,1.60502,10.2041,2.16939,6.74695,-0.0777249,3.23022,-6.60194,5.59809,-1.12213,2.44314,-3.38116,-1.34427,-6.2168,1.52145,-3.45318
0.085333333,-266.674,37.5161,-14.5756,4.28178,2.43589,11.3096,3.27633,8.07422,-2.57092,6.06477,-1.4772,7.43688,-0.886524,4.91037,-3.82425,-3.17252,-6.07793,1.4869,-4.29506,1.50068,-3.60638
0.106666667,-271.119,42.1079,-12.0219,0.430019,4.82364,11.034,2.00053,6.15721,-3.00123,3.16366,-2.87754,5.76586,-2.73219,3.02169,-0.379431,3.45108,-3.78415,0.40606,-2.10126,1.02581,-2.33168
0.128000000,-276.316,43.0178,-7.62457,3.89248,9.92502,13.1401,-2.68394,8.14775,-1.39553,2.78789,-4.84237,3.77399,-3.56322,1.81737,-1.96985,1.02457,-3.82883,1.68453,-2.44255,0.794893,-2.41259
0.149333333,-277.722,40.5105,-9.08524,1.97652,9.20712,12.123,-0.467086,8.25206,0.539339,3.35485,-5.12096,4.87328,-0.934859,3.12998,-0.864688,3.20529,-2.93588,1.44677,-2.70394,0.0121035,-3.86296
0.170666667,-280.66,43.1897,-8.8352,-0.9069,9.67489,13.1414,-1.04479,7.01177,0.522157,3.42068,-4.36609,3.80874,0.663244,5.14252,0.197883,1.65209,-4.99129,0.227566,-1.31821,0.0984947,-2.87259
0.192000000,-280.943,43.6676,-8.86374,0.307558,6.47939,11.2101,-2.42142,8.84651,1.13046,4.04849,-1.40999,6.65345,-1.07108,4.19718,1.13006,3.06063,-5.13031,0.660519,-1.66782,1.97215,-1.73755
0.213333333,-283.225,43.1448,-11.3376,-2.99039,9.40157,13.3934,-1.57314,8.46807,-0.505752,2.09481,-4.77856,9.44126,-0.0659364,4.82692,0.967205,3.32957,-4.64755,0.294019,-2.18691,0.810953,-3.60055
0.234666667,-284.594,41.8555,-8.87557,-1.62817,6.61325,12.3009,-2.11061,8.41858,0.433655,5.77767,-2.51602,4.92552,-1.945,5.76199,-0.579478,2.1898,-4.21165,2.74734,-1.04221,1.0938,-2.67136
0.256000000,-273.173,43.5785,-14.0057,-7.33301,4.45255,15.0467,-1.05074,10.264,1.04704,4.75176,-0.484787,5.40309,-1.44216,3.79113,-1.7861,1.75699,-4.85046,2.37503,1.81915,3.59501,-2.85711
0.277333333,-283.988,43.5687,-7.58557,-2.97397,4.30574,10.7102,-0.794639,10.2373,0.618851,0.585955,-4.30914,6.8743,0.824868,2.97011,-0.343022,2.6682,-3.47994,2.67436,-1.53017,1.50522,-2.95481
0.298666667,-284.898,44.2245,-7.6023,-2.2276,8.26816,12.4484,-3.48892,7.76034,0.0702358,-0.711557,-7.31026,8.09648,-0.62119,-0.462536,0.609594,6.73918,-3.26749,1.25552,2.75851,3.49773,-2.95442
0.320000000,-285.381,42.6577,-5.49308,-0.744122,7.02881,12.9957,-3.88389,5.99817,-1.57437,2.66238,-4.47546,5.34924,-1.9526,3.836,0.323417,4.04997,-2.0835,1.58101,-2.14048,4.1525,-1.12001
0.341333333,-284.437,43.2721,-6.30853,-0.629492,8.33212,11.9359,-4.61493,8.79044,1.8625,2.16968,-6.09344,7.05079,-3.85134,0.931275,-2.55886,3.89234,-3.40092,1.40695,-1.23191,2.05297,-2.30501
0.362666667,-288.844,43.3115,-6.12286,-1.75002,6.68711,13.3619,1.114,9.31948,-2.58021,0.858938,-5.80206,3.01203,-2.20744,5.29253,-0.370149,2.08824,-5.35687,1.0528,0.747339,1.54291,-4.56115
0.384000000,-274.345,36.9353,-11.4252,6.80436,6.0407,11.1868,-0.679036,8.23296,-0.142834,1.94485,-1.74493,4.14858,-3.10647,4.12538,-2.58541,-1.37538,-5.03704,-0.0334487,-2.54938,2.13317,-2.53942
0.405333333,-278.856,43.8034,-8.15421,-1.47316,2.9167,12.9875,-0.889641,6.70307,-4.62567,0.353759,-1.4646,7.87022,-1.78072,1.85974,-3.76629,-1.00701,-5.80302,1.62833,0.981449,1.74648,-2.52902
0.426666667,-278.845,45.524,-5.88756,-3.61432,3.00394,14.2597,-3.26295,7.56888,-1.9359,2.2112,-4.19932,2.73287,-3.19003,1.76229,-1.18079,4.08604,-3.47002,0.966981,-1.42019,1.71924,-2.87562
0.448000000,-286.434,44.236,-2.915,-0.597986,5.79419,11.389,-4.52455,5.71321,-2.2125,4.18683,-3.38504,3.46961,-2.66367,2.33931,-0.671026,3.35744,-1.37942,2.44138,-2.21577,1.67352,-3.94831
0.469333333,-285.868,41.6967,-7.25985,-1.4492,5.25284,12.3125,-1.23742,8.78279,-0.647839,2.36499,-5.8776,6.69586,-1.43903,2.34206,0.377448,4.97524,-2.48966,2.94835,-2.34071,2.41749,-2.5954
0.490666667,-288.611,39.8994,-7.85115,-2.93765,7.76307,14.0927,-1.69231,7.98564,0.327107,4.99426,-2.89578,5.50144,-0.449427,3.09023,-0.585515,5.05014,-3.44231,3.11757,-3.60542,-0.876094,-4.14106
0.512000000,-291.23,39.6662,-6.86045,-5.2627,4.88905,13.8427,0.121087,9.13048,2.40609,3.65583,-2.94527,6.6445,-2.03383,2.85634,1.08167,6.14249,-2.77924,0.515094,-0.789027,2.26238,-3.54035
0.533333333,-286.567,41.3752,-8.93663,-3.06683,3.3222,13.0122,-0.188482,9.6777,0.940734,0.629096,-1.98694,10.9008,-0.576558,2.60703,-0.656628,2.7772,-3.07568,1.88241,0.832145,2.29309,-4.22212
0.554666667,-290.658,41.0016,-5.24051,-3.79874,4.57091,9.93888,-4.91762,6.6336,2.19446,8.378,-1.00366,7.19432,0.447201,5.0802,0.256098,2.42106,-3.23209,2.17467,1.07483,2.96196,-4.83064
0.576000000,-274.561,44.6519,-12.2786,-9.36523,4.03801,13.6586,0.764388,10.3363,2.52726,3.7844,-1.3464,6.54708,-1.66001,4.3113,-0.314027,2.85602,-5.40878,3.21237,-0.782287,-0.0847067,-2.51542
0.597333333,-289.291,40.3995,-5.4222,-3.39139,2.89669,10.2173,2.07154,13.4908,1.15273,3.18404,-3.58221,7.756,2.12748,3.14087,-2.91617,2.07972,-3.13748,3.72122,-1.2386,0.521626,-0.522377
0.618666667,-283.67,41.9446,-6.76157,-0.495878,5.43475,12.4368,-1.53738,10.8901,-0.32238,0.209892,-3.08267,7.9146,-1.77182,2.20565,0.04332,3.71348,-3.5518,2.01022,0.946855,3.4404,-3.22452
0.640000000,-288.719,40.2761,-6.00203,-0.999413,6.74783,15.3641,2.04355,9.02881,-2.21434,2.76617,-5.85145,3.14848,-1.45019,4.49577,0.611607,5.32057,-0.835648,3.17481,-0.9425,1.4865,-1.2443
0.661333333,-286.517,39.4361,-5.35285,1.14704,8.28321,12.752,-3.85574,8.54288,5.37975,4.60552,-3.53183,5.02282,-5.19478,-0.519013,-0.800922,4.55757,-3.40973,0.984597,0.307461,1.81036,-0.971017
0.682666667,-290.28,40.5618,-5.73857,-2.90086,3.21535,14.968,2.88037,12.674,0.678282,2.52342,-3.66878,4.67631,-2.71206,3.96096,-0.483951,1.07131,-5.62315,0.390582,0.355429,3.24405,-2.69437
0.704000000,-267.243,36.6085,-16.9047,5.81719,6.29221,11.6831,-1.19613,9.14353,-1.1082,2.54214,-0.990902,5.53097,-3.62148,4.64631,-1.5926,4.32273,-4.17212,0.614486,-4.4569,1.15228,-0.65788
0.725333333,-255.985,32.228,-17.6074,5.87829,1.086,8.44538,1.56757,8.23291,-4.17748,2.51566,-0.085303,5.46054,-4.61833,4.38601,-0.988758,2.59096,-2.39887,1.56595,-1.16001,4.06061,-0.402583
0.746666667,-266.046,35.749,-13.8617,1.95546,-0.509747,10.683,1.75886,7.96528,-1.84165,3.10558,-3.08488,4.30977,-3.67772,3.82096,-0.716732,2.18783,-2.72348,2.00441,-1.86569,4.2844,-2.04719
0.768000000,-279.901,35.9962,-10.2282,2.60499,3.60332,8.62079,-1.89847,6.05398,-2.39448,3.50653,-2.92066,3.31017,-3.26488,4.85818,-2.37402,2.6334,-0.120751,3.16901,-0.0012053,3.92371,-2.08516
0.789333333,-282.497,35.9002,-9.08527,0.0450637,2.36164,8.78896,0.0157909,9.05,-0.785862,2.03027,-4.86785,4.97302,-2.63505,2.24001,-0.641733,2.72312,-1.62879,2.14106,-1.06099,1.55762,-1.42788
0.810666667,-286.44,36.6177,-10.6528,-2.80382,5.05772,12.089,0.230212,9.65044,0.888757,3.76056,-2.46763,4.69938,-3.66617,2.99177,-1.80163,2.22421,-2.96029,2.61239,-0.15107,2.57601,-0.276295
0.832000000,-292.337,35.8806,-12.3005,-2.51873,4.08919,13.6594,1.28724,9.60229,1.78335,5.94618,-0.494814,9.0459,-0.103046,3.62627,2.83901,4.79409,-4.23899,0.183714,-3.16892,1.24233,-3.16852
0.853333333,-289.362,37.373,-10.5011,-2.65556,6.27074,14.5806,1.08425,9.92088,1.51544,3.65795,-3.45451,10.4505,1.17001,2.23113,-2.07725,3.33697,-4.09323,2.72397,-1.14568,1.50014,-4.5853
0.874666667,-289.402,39.4198,-6.81234,-0.630165,4.94196,11.1825,-3.18462,7.51367,1.35346,8.41375,-1.86387,7.02989,0.195842,5.93961,0.731114,1.19663,-5.20748,3.79838,1.57649,1.62282,-2.6493
